,Signal,Response,Duration
0,0,1,1.620676917002129
1,1,2,0.9647795410055551
2,2,2,1.5566581250022864
3,1,1,0.3423674169971491
4,2,1,1.3796117500023684
5,1,2,0.3446396669969545
6,1,2,1.0754373340023449
7,1,1,0.2506383750005625
8,0,1,0.38481066600070335
9,0,1,0.595855624997057
10,0,1,0.27595137499884004
11,2,2,0.33675233400572324
12,0,1,0.6547030000001541
13,2,2,0.3114302920002956
14,0,1,0.5554797910008347
15,0,2,0.6634477920015343
16,0,1,0.5659012920004898
17,2,1,1.3996417919988744
18,1,2,0.3939009169989731
19,2,2,0.3266005409968784
20,0,2,0.7448210829970776
21,1,2,0.34437020800396567
22,0,1,0.3607653329963796
23,0,1,0.3015801250003278
24,2,2,1.122808874999464
25,0,2,0.24508287500066217
26,0,1,0.23003466600493994
27,1,2,0.3289567920000991
28,2,2,1.8372486250009388
29,0,1,0.6681375830012257
30,0,1,0.2509518750011921
31,0,1,0.37331162500049686
