,Signal,Response,Duration
0,0,1,0.8034312911331654
1,2,2,1.3294414589181542
2,0,2,1.3280052500776947
3,1,2,1.3178370418027043
4,1,2,0.5970295420847833
5,0,2,2.653486791998148
6,2,2,0.9365447089076042
7,0,2,0.1667645419947803
8,1,2,1.2458796668797731
9,1,2,0.9463304160162807
10,0,1,0.5140712079592049
11,0,1,1.8934578751213849
12,0,1,0.9008530001156032
13,2,1,1.5877800420857966
14,0,2,1.8750112089328468
15,0,1,0.4115982912480831
16,0,1,0.28202899964526296
17,2,2,0.4875233331695199
18,2,2,1.7986913342028856
19,0,1,3.459504125174135
20,0,1,0.38267429219558835
21,1,2,0.8686549169942737
22,2,2,0.9156354158185422
23,2,1,0.8993268753401935
24,2,1,0.40951129188761115
25,1,1,2.1675611659884453
26,0,2,0.4422330828383565
27,0,2,0.36679829098284245
28,1,2,2.456654792185873
29,0,[],[]
30,1,2,0.16624837508425117
31,0,2,1.0068949172273278
