,Signal,Response,Duration
0,0,1,0.05632891600544099
1,0,1,2.148772749998898
2,0,1,4.967016249996959
3,0,1,1.0716327500049374
4,2,1,2.350270625000121
5,0,1,0.4632660420029424
6,1,2,0.35263600000325823
7,1,1,0.4518305839956156
8,2,1,0.8442848749982659
9,0,1,0.3889838749964838
10,0,1,0.42062308399908943
11,2,1,0.3792350420044386
12,2,2,0.4632387919991743
13,0,1,0.4281557089998387
14,1,1,0.9842165419977391
15,2,1,0.604544417001307
16,2,2,0.5473356250004144
17,2,2,0.30201062499691034
18,1,2,2.699352583003929
19,0,1,0.3561306670017075
20,0,[],[]
21,1,2,0.4659962919977261
22,1,2,0.3849439999976312
23,0,1,0.5389772499984247
24,0,2,1.0620942499954253
25,0,1,0.5368524170044111
26,0,1,0.44987754199974006
27,2,1,0.4066804999965825
28,1,2,0.41735316700214753
29,0,1,0.5946352910032147
30,0,1,0.5629435000009835
31,1,2,0.368557542002236
