,Signal,Response,Duration
0,1,1,2.846857374999672
1,1,2,2.3816913330229
2,1,1,1.163364207954146
3,2,1,1.4292273330502212
4,2,1,1.694331582984887
5,0,1,0.141988875111565
6,1,[],[]
7,2,1,0.4361480000661686
8,1,2,0.42697666701860726
9,0,1,0.4022856659721583
10,0,1,0.40860454097855836
11,2,1,0.5937174999853596
12,1,2,0.9150047919247299
13,0,1,0.40114283305592835
14,2,2,0.5028746660100296
15,1,2,0.44925708300434053
16,0,2,0.48696024995297194
17,0,1,0.5542282499372959
18,0,1,0.3212859999621287
19,0,1,0.37332962499931455
20,0,1,0.533739999984391
21,0,2,0.4680543749127537
22,0,1,0.5553801250644028
23,1,2,0.5876957080326974
24,0,2,1.1471351250074804
25,0,1,2.785933292005211
26,0,1,0.5677091249963269
27,2,2,0.9404511250322685
28,2,2,0.5054419579682872
29,0,1,0.5540987499989569
30,0,1,0.7779834170360118
31,2,1,0.4845520829549059
