,Signal,Response,Duration
0,0,1,2.9928211250080494
1,2,2,1.2344834999967134
2,0,1,1.0617879999917932
3,0,2,1.6912900839961367
4,1,1,2.3340413330006413
5,0,1,1.2279335000057472
6,0,1,1.7948763750027865
7,0,1,2.7140123339922866
8,0,2,2.3689898339944193
9,2,1,3.379176374990493
10,0,1,2.4765515409962973
11,1,2,1.3234982080030022
12,0,1,2.2551281670021126
13,2,2,1.3429896669986192
14,0,2,2.6846725840005092
15,2,2,1.2887826250080252
16,0,1,0.5336035000073025
17,2,[],[]
18,1,2,1.237210540988599
19,0,2,0.9346692499966593
20,1,1,1.619512457997189
21,0,1,2.050206166008138
22,0,1,1.085767875003512
23,2,1,1.8016881669900613
24,1,1,1.9929638750036247
25,1,2,0.5397683330083964
26,0,2,1.5307513750012731
27,2,1,2.1634232500073267
28,2,2,1.6722500409960048
29,1,1,1.2787826670100912
30,1,2,1.5761049579887185
31,0,2,1.384284416999435
