,Signal,Response,Duration
0,1,1,1.870587041019462
1,0,2,2.2282522089954
2,1,1,1.0909199580200948
3,1,2,2.0084942920075264
4,1,2,0.5948037919879425
5,1,1,0.9020051250117831
6,1,1,0.45441504201153293
7,2,2,2.7658792920119595
8,2,2,1.27869741700124
9,0,2,1.6687640000018291
10,0,1,0.9107450000010431
11,2,2,1.3384382920048665
12,2,2,2.5037391250079963
13,0,1,0.5490429580095224
14,0,1,1.0019961669750046
15,2,2,2.4194205419917125
16,0,1,0.9997733330237679
17,0,2,1.1133284159877803
18,1,2,3.353808374988148
19,2,2,1.546904499991797
20,1,1,0.4439882920123637
21,0,2,1.3132814999844413
22,0,2,0.9302628340083174
23,0,1,0.919603750022361
24,2,1,1.8656202910060529
25,2,2,0.9710658330004662
26,0,1,1.7105598330090288
27,0,2,1.8620691659743898
28,0,1,1.8884346669947263
29,0,1,0.7733437499846332
30,0,2,0.854961542005185
31,0,2,1.1839609580056276
