,Signal,Response,Duration
0,1,1,1.8417878619993644
1,1,2,1.5128280509998149
2,2,1,1.4268055660004393
3,0,1,0.9501984239996091
4,0,2,3.1924881019995155
5,0,1,0.9707292530001723
6,0,1,1.305599884000003
7,1,2,1.4382471270000678
8,0,1,0.5111876470000425
9,0,1,1.7929559550002523
10,2,1,2.4298635499999364
11,1,2,1.0483342190000258
12,2,2,1.359480390000499
13,0,1,0.6300431080007911
14,0,2,1.7127337880001505
15,2,2,1.231563260999792
16,0,1,1.6141941920004683
17,0,1,1.8333575189999465
18,0,1,0.6577349099998173
19,2,2,0.9555784770000173
20,0,2,0.9478340919995389
21,1,1,1.5464117599995006
22,2,1,1.7179821939998874
23,2,2,1.0569536330003757
24,1,2,0.7170987320005224
25,2,2,1.3415438960000756
26,1,2,0.8991181530000176
27,0,1,0.8060636189993602
28,0,1,0.7514033789993846
29,1,1,0.9035749829999986
30,0,2,0.8125589269993725
31,0,1,0.7800319359994319
