,Signal,Response,Duration
0,1,2,0.3880606660095509
1,0,1,0.2862874999991618
2,0,1,0.42018800000369083
3,0,2,1.4365972920058994
4,0,2,0.38628558299387805
5,0,1,0.45401879100245424
6,2,1,0.6707702919957228
7,1,1,0.33676962500612717
8,1,2,0.3123749999940628
9,2,2,0.661444917001063
10,2,1,1.431846499996027
11,0,2,0.7924239589920035
12,0,2,0.37815487499756273
13,1,1,0.3746291249990463
14,0,2,0.5039664590003667
15,2,1,0.04505454200261738
16,1,2,0.2987125829968136
17,1,2,0.33015533299476374
18,0,1,0.3256376250064932
19,2,2,0.568607041001087
20,0,1,0.6517220829991857
21,0,1,0.3305239169858396
22,0,2,0.43295391599531285
23,2,2,0.5031642910034861
24,0,2,0.2090075840096688
25,0,1,0.27012279198970646
26,2,2,1.243022791997646
27,2,2,1.1841354589996627
28,1,2,0.5740299590106588
29,0,2,3.2366065829992294
30,1,2,0.3329764999944018
31,0,2,0.3047124170116149
